check_in,check_out,direct_expected,airbnb_expected,vrbo_expected,cheapest_ota,savings_vs_cheapest,current_missing,current_diff
2026-05-07,2026-05-14,11200,14427.27,14613.91,14427.27,22.4,,
2026-05-08,2026-05-15,11200,14427.27,14613.91,14427.27,22.4,,
2026-05-10,2026-05-17,11200,14427.27,14613.91,14427.27,22.4,,
2026-05-14,2026-05-21,11200,14427.27,14613.91,14427.27,22.4,,
2026-05-21,2026-05-28,11200,14427.27,14613.91,14427.27,22.4,,
2026-05-26,2026-06-02,11350,14614.41,14755.03,14614.41,22.3,,
2026-05-28,2026-06-04,11650,14988.69,15037.25,14988.69,22.3,,
2026-05-29,2026-06-05,11800,15175.82,15178.37,15175.82,22.2,,
2026-05-31,2026-06-07,12100,15550.09,15460.6,15460.6,21.7,,
2026-06-01,2026-06-08,12250,15737.23,15601.71,15601.71,21.5,,
2026-06-02,2026-06-09,12250,15737.23,15601.71,15601.71,21.5,,
2026-06-04,2026-06-11,12250,15737.23,15601.71,15601.71,21.5,,
2026-06-11,2026-06-18,12250,15737.23,15601.71,15601.71,21.5,,
2026-06-18,2026-06-25,12250,15737.23,15601.71,15601.71,21.5,,
2026-06-25,2026-07-02,12250,15737.23,15601.71,15601.71,21.5,,
2026-06-30,2026-07-07,12250,15737.23,15603.05,15603.05,21.5,,
2026-07-02,2026-07-09,12250,15737.23,15605.73,15605.73,21.5,,
2026-07-03,2026-07-10,12250,15737.23,15607.06,15607.06,21.5,,
2026-07-05,2026-07-12,12250,15737.23,15609.74,15609.74,21.5,,
2026-07-06,2026-07-13,12250,15737.23,15611.07,15611.07,21.5,,
2026-07-07,2026-07-14,12250,15737.23,15611.07,15611.07,21.5,,
2026-07-09,2026-07-16,12250,15737.23,15611.07,15611.07,21.5,,
2026-07-16,2026-07-23,12250,15737.23,15611.07,15611.07,21.5,,
2026-07-23,2026-07-30,12250,15737.23,15611.07,15611.07,21.5,,
2026-07-30,2026-08-06,12250,15737.23,15611.07,15611.07,21.5,,
2026-08-02,2026-08-09,12250,15737.23,15583.32,15583.32,21.4,,
2026-08-05,2026-08-12,12250,15737.23,15500.06,15500.06,21,,
2026-08-06,2026-08-13,12250,15737.23,15472.31,15472.31,20.8,,
2026-08-07,2026-08-14,12250,15737.23,15444.55,15444.55,20.7,,
2026-08-08,2026-08-15,12250,15737.23,15416.8,15416.8,20.5,,
2026-08-09,2026-08-16,12250,15737.23,15416.8,15416.8,20.5,,
2026-08-11,2026-08-18,12250,15737.23,15416.8,15416.8,20.5,,
2026-08-13,2026-08-20,12250,15737.23,15416.8,15416.8,20.5,,
2026-08-20,2026-08-27,12250,15737.23,15416.8,15416.8,20.5,,
2026-08-27,2026-09-03,12250,15737.23,15416.8,15416.8,20.5,,
2026-09-02,2026-09-09,12100,15737.23,15304.21,15304.21,20.9,,
2026-09-03,2026-09-10,11950,15737.23,15191.62,15191.62,21.3,,
2026-09-05,2026-09-12,11650,15737.23,14966.44,14966.44,22.2,,
2026-09-06,2026-09-13,11500,15550.09,14853.85,14853.85,22.6,,
2026-09-07,2026-09-14,11350,15362.96,14741.26,14741.26,23,,
2026-09-08,2026-09-15,11200,15175.82,14628.67,14628.67,23.4,,
2026-09-09,2026-09-16,11200,14988.69,14628.67,14628.67,23.4,,
2026-09-10,2026-09-17,11200,14801.54,14545.32,14545.32,23,,
2026-09-11,2026-09-18,11200,14614.41,14461.97,14461.97,22.6,,
2026-09-12,2026-09-19,11200,14427.27,14378.62,14378.62,22.1,,
2026-09-13,2026-09-20,11200,14427.27,14295.27,14295.27,21.7,,
2026-09-15,2026-09-22,11200,14427.27,14128.57,14128.57,20.7,,
2026-09-16,2026-09-23,11200,14427.27,14045.22,14045.22,20.3,,
2026-09-17,2026-09-24,11200,14427.27,14045.22,14045.22,20.3,,
2026-09-19,2026-09-26,11200,14427.27,14045.22,14045.22,20.3,,
2026-09-24,2026-10-01,11200,14427.27,14045.22,14045.22,20.3,,
2026-10-01,2026-10-08,11200,14427.27,14045.22,14045.22,20.3,,
2026-10-08,2026-10-15,11200,14427.27,14045.22,14045.22,20.3,,
2026-10-15,2026-10-22,11200,14427.27,14045.22,14045.22,20.3,,
2026-10-21,2026-10-28,11200,14427.27,14047.72,14047.72,20.3,,
2026-10-22,2026-10-29,11200,14427.27,14050.22,14050.22,20.3,,
2026-10-24,2026-10-31,11200,14427.27,14055.22,14055.22,20.3,,
2026-10-26,2026-11-02,11200,14427.27,14060.22,14060.22,20.3,,
2026-10-27,2026-11-03,11200,14427.27,14062.72,14062.72,20.4,,
2026-10-28,2026-11-04,11200,14427.27,14062.72,14062.72,20.4,,
2026-10-29,2026-11-05,11200,14427.27,14062.72,14062.72,20.4,,
2026-10-30,2026-11-06,11200,14427.27,14062.72,14062.72,20.4,,
2026-11-05,2026-11-12,11200,14427.27,14062.72,14062.72,20.4,,
2026-11-08,2026-11-15,11200,14427.27,14094.31,14094.31,20.5,,
2026-11-11,2026-11-18,11200,14427.27,14189.08,14189.08,21.1,,
2026-11-12,2026-11-19,11200,14427.27,14220.67,14220.67,21.2,,
2026-11-13,2026-11-20,11200,14427.27,14252.26,14252.26,21.4,,
2026-11-14,2026-11-21,11200,14427.27,14283.85,14283.85,21.6,,
2026-11-15,2026-11-22,11200,14431.58,14283.85,14283.85,21.6,,
2026-11-17,2026-11-24,11200,14440.22,14283.85,14283.85,21.6,,
2026-11-18,2026-11-25,11200,14444.53,14283.85,14283.85,21.6,,
2026-11-19,2026-11-26,11200,14448.85,14283.85,14283.85,21.6,,
2026-11-20,2026-11-27,11200,14453.16,14283.85,14283.85,21.6,,
2026-11-21,2026-11-28,11200,14457.47,14283.85,14283.85,21.6,,
2026-11-22,2026-11-29,11200,14453.16,14283.85,14283.85,21.6,,
2026-11-24,2026-12-01,11200,14444.53,14283.85,14283.85,21.6,,
2026-11-25,2026-12-02,11200,14440.22,14283.85,14283.85,21.6,,
2026-11-26,2026-12-03,11200,14435.9,14283.85,14283.85,21.6,,
2026-11-27,2026-12-04,11200,14431.58,14283.85,14283.85,21.6,,
2026-11-28,2026-12-05,11200,14427.27,14283.85,14283.85,21.6,,
2026-11-29,2026-12-06,11200,14427.27,14283.85,14283.85,21.6,,
2026-12-01,2026-12-08,11200,14427.27,14283.85,14283.85,21.6,,
2026-12-03,2026-12-10,11200,14427.27,14283.85,14283.85,21.6,,
2026-12-09,2026-12-16,11800,14427.27,14642.32,14427.27,18.2,,
2026-12-10,2026-12-17,12400,14427.27,15359.27,14427.27,14.1,,
2026-12-11,2026-12-18,13000,14427.27,16407.12,14427.27,9.9,,
2026-12-12,2026-12-19,13600,14427.27,17761.99,14427.27,5.7,,
2026-12-13,2026-12-20,14500,16240.82,19479.7,16240.82,10.7,,
2026-12-14,2026-12-21,15400,18054.36,21197.41,18054.36,14.7,,
2026-12-15,2026-12-22,16300,19867.92,22915.11,19867.92,18,,
2026-12-16,2026-12-23,16600,21681.46,24274.35,21681.46,23.4,,
2026-12-17,2026-12-24,16900,23495.01,25275.11,23495.01,28.1,,
2026-12-18,2026-12-25,17200,25308.55,25944.97,25308.55,32,,
2026-12-19,2026-12-26,17500,27122.1,26307.81,26307.81,33.5,,
2026-12-20,2026-12-27,17500,27122.1,26307.81,26307.81,33.5,,
2026-12-21,2026-12-28,17500,27122.1,26307.81,26307.81,33.5,,
2026-12-22,2026-12-29,17500,27122.1,26307.81,26307.81,33.5,,
2026-12-23,2026-12-30,17500,27122.1,26307.81,26307.81,33.5,,
2026-12-24,2026-12-31,17500,27122.1,26307.81,26307.81,33.5,,
2026-12-25,2027-01-01,17500,27122.1,26307.81,26307.81,33.5,,
