check_in,check_out,nights,display_nightly,display_subtotal,tax,total,taxable_base,taxable_nightly,nontaxed_markup,effective_tax_rate,source
2026-05-16,2026-05-23,7,1882.81,13179.7,1302,14481.7,10850,1550,2329.7,0.098788,live checkout observed in browser before screenshot series
2026-06-20,2026-06-27,7,2020.9,14146.33,1423.8,15570.13,11865,1695,2281.33,0.100648,vrbo-checkout-jun-20-27-tax-total-2026-05-07T20-54-45-915Z.txt
2026-07-04,2026-07-10,6,2007.69,12046.14,1220.4,13266.54,10170,1695,1876.14,0.10131,vrbo-checkout-jul-04-10-tax-total-2026-05-07T20-55-56-428Z.txt
2026-08-15,2026-08-22,7,1983.9,13887.33,1423.8,15311.13,11865,1695,2022.33,0.102525,vrbo-checkout-current-snapshot-2026-05-07T20-56-40-041Z.txt
2026-09-05,2026-09-12,7,2036.9,14258.33,1423.8,15682.13,11865,1695,2393.33,0.099857,vrbo-checkout-2026-09-05-to-2026-09-12-snapshot-2026-05-07T20-57-38-943Z.txt
2026-09-19,2026-09-26,7,1870.67,13094.7,1302,14396.7,10850,1550,2244.7,0.09943,vrbo-checkout-2026-09-19-to-2026-09-26-snapshot-2026-05-07T20-58-16-931Z.txt
2026-10-24,2026-10-31,7,1870.67,13094.7,1302,14396.7,10850,1550,2244.7,0.09943,vrbo-checkout-2026-10-24-to-2026-10-31-snapshot-2026-05-07T20-59-05-285Z.txt
2026-11-21,2026-11-28,7,1813.22,12692.54,1304.4,13996.94,10870,1552.86,1822.54,0.102769,vrbo-checkout-2026-11-21-to-2026-11-28-snapshot-2026-05-07T20-59-42-952Z.txt
2026-12-05,2026-12-12,7,1796.67,12576.7,1302,13878.7,10850,1550,1726.7,0.103525,vrbo-checkout-2026-12-05-to-2026-12-12-snapshot-2026-05-07T21-00-29-650Z.txt
2026-12-12,2026-12-19,7,1810.1,12670.7,1302,13972.7,10850,1550,1820.7,0.102757,vrbo-checkout-2026-12-12-to-2026-12-19-snapshot-2026-05-07T21-01-04-732Z.txt
2026-12-19,2026-12-26,7,3365.1,23555.73,2482.08,26037.81,20684,2954.86,2871.73,0.105371,vrbo-checkout-2026-12-19-to-2026-12-26-snapshot-2026-05-07T21-01-40-557Z.txt
